Romaji;Hiragana;Katakana
a;あ;ア
e;え;エ
i;い;イ
o;お;オ
u;う;ウ
ka;か;カ
ke;け;ケ
ki;き;キ
ko;こ;コ
ku;く;ク
ga;が;ガ
ge;げ;ゲ
gi;ぎ;ギ
go;ご;ゴ
gu;ぐ;グ
ra;ら;ラ
re;れ;レ
ri;り;リ
ro;ろ;ロ
ru;る;ル
sa;さ;サ
se;せ;セ
shi;し;シ
so;そ;ソ
su;す;ス
ta;た;タ
te;て;テ
chi;ち;チ
to;と;ト
tsu;つ;ツ
ha;は;ハ
he;へ;ヘ
hi;ひ;ヒ
ho;ほ;ホ
fu;ふ;フ
ba;ば;バ
be;べ;ベ
bi;び;ビ
bo;ぼ;ボ
bu;ぶ;ブ
pa;ぱ;パ
pe;ぺ;ペ
pi;ぴ;ピ
po;ぽ;ポ
pu;ぷ;プ
na;な;ナ
ne;ね;ネ
ni;に;ニ
no;の;ノ
nu;ぬ;ヌ
ma;ま;マ
me;め;メ
mi;み;ミ
mo;も;モ
mu;む;ム
ya;や;ヤ
yo;よ;ヨ
yu;ゆ;ユ
n;ん;ン
da;だ;だ
de;で;で
di;ぢ;ぢ
do;ど;ど
du;づ;づ
za;ざ;ざ
ze;ぜ;ぜ
zi;じ;じ
zo;ぞ;ぞ
zu;ず;ず
kya;きゃ;キャ
kyo;きょ;キョ
kyu;きゅ;キュ
gya;ぎゃ;ギャ
gyo;ぎょ;ギョ
gyu;ぎゅ;ギュ
rya;りゃ;リャ
ryo;りょ;リョ
ryu;りゅ;リュ
sha;しゃ;シャ
sho;しょ;ショ
shu;しゅ;シュ
ja;じゃ;ジャ
jo;じょ;ジョ
ju;じゅ;ジュ
cha;ちゃ;チャ
cho;ちょ;チョ
chu;ちゅ;チュ
hya;ひゃ;ヒャ
hyo;ひょ;ヒョ
hyu;ひゅ;ヒュ
bya;びゃ;ビャ
byo;びょ;ビョ
byu;びゅ;ビュ
pya;ぴゃ;ピャ
pyo;ぴょ;ピョ
pyu;ぴゅ;ピュ
nya;にゃ;ニャ
nyo;にょ;ニョ
nyu;にゅ;ニュ
mya;みゃ;ミャ
myo;みょ;ミョ
myu;みゅ;ミュ
ts;っ;ッ
_;ー;ー
